Num Threads, Speedup, Time
1, 0,1.43996
2, 0.938432, 1.53443
3, 1.55875, 0.923792
4, 1.47877, 0.973754
5, 1.70431, 0.844896
6, 1.50908, 0.954201
7, 1.97628, 0.728622
8, 1.90301, 0.756674
9, 1.95641, 0.73602
10, 2.06629, 0.696884
11, 2.26292, 0.636328
12, 2.44517, 0.588899
13, 2.19348, 0.656473
14, 2.30356, 0.625101
15, 2.35575, 0.611254
16, 1.91329, 0.752609
17, 2.10151, 0.685204
18, 2.18953, 0.657657
19, 2.14136, 0.672451
20, 2.13139, 0.675597
21, 1.75443, 0.820757
22, 2.10467, 0.684175
23, 1.96711, 0.732017
24, 1.71988, 0.837246
25, 1.85809, 0.774968
26, 1.91554, 0.751724
27, 1.57197, 0.916021
28, 1.67119, 0.86164
29, 1.42234, 1.01239
30, 1.29159, 1.11487
